age	income
25	226802
38	89814
28	336951
44	160323
18	103497
34	198693
29	227026
63	104626
24	369667
55	104996
65	184454
36	212465
26	82091
58	299831
48	279724
43	346189
20	444554
43	128354
37	60548
40	85019
34	107914
34	238588
72	132015
25	220931
25	205947
45	432824
22	236427
23	134446
54	99516
32	109282
46	106444
56	186651
24	188274
23	258120
26	43311
65	191846
36	403681
22	248446
17	269430
20	257509
65	136384
44	120277
36	465326
29	103634
20	138371
28	242832
39	290208
54	186272
52	201062
56	131916
18	54440
39	280215
21	214399
22	54164
38	219446
21	110677
63	145985
34	382078
42	170721
33	269705
30	101135
39	118429
26	31208
33	281384
47	171807
41	109912
41	445382
19	105460
46	170338
43	102606
55	323887
46	175622
30	229636
21	388946
46	269034
17	165361
41	75012
69	174379
50	312477
20	72055
45	67001
23	213734
24	83141
44	223881
31	113752
43	170482
20	244689
55	160631
24	228724
41	38434
59	292946
49	77443
33	176410
59	98984
34	198751
20	479296
25	235218
49	164877
59	272087
20	169699
51	189762
33	202191
22	212261
58	301568
52	155233
36	75826
41	201520
28	154236
19	289227
18	217439
18	179020
28	149624
29	337266
20	30796
40	103541
26	206721
46	96773
23	200967
44	180019
43	179866
31	198770
18	219256
19	248730
41	110732
41	181020
69	183791
48	42972
28	134813
27	115438
41	239296
41	428420
24	247846
20	334105
42	100793
57	244478
30	142921
36	182863
49	171128
33	145402
23	306309
46	83822
18	262118
40	155972
43	214503
34	159303
47	174995
44	26669
33	177727
55	124771
19	456736
28	216604
27	221561
50	114564
22	315476
40	67874
25	126110
26	102264
22	537222
42	113732
38	93225
55	43064
32	136921
22	388885
29	142249
46	56841
31	156493
58	159021
42	190910
18	41879
58	137249
54	236157
34	189759
26	239877
61	21175
48	67229
36	236391
24	325596
40	83411
33	154227
37	248010
34	198613
56	321529
28	168524
37	203079
44	284652
64	201368
54	59840
23	52753
34	513100
22	199266
33	196385
39	163205
47	411047
79	48574
26	209440
31	56964
44	299197
42	240628
19	355313
27	132267
51	174861
28	142443
57	26716
45	185588
50	175029
34	34848
45	411273
73	143437
34	357145
31	236861
19	53355
25	29106
38	213274
39	22463
23	180497
49	37306
33	137814
21	447488
31	220915
23	42251
34	162312
25	77698
39	282951
52	311259
63	65479
41	277256
46	312088
53	169719
25	270276
77	172744
18	96869
38	237943
55	119751
34	236861
80	201092
34	147215
52	152373
42	227968
26	362617
31	103435
25	281412
55	105239
19	230165
62	177493
22	104443
39	110342
35	143385
28	107189
47	212944
44	138634
21	99970
35	203717
24	313956
42	177937
28	193868
21	250939
62	57629
39	281768
30	260782
72	243769
50	109937
28	134890
29	100293
26	132179
27	116372
29	255412
61	195789
29	342400
21	65481
31	169085
25	177221
58	65325
64	118944
46	149337
53	237868
19	106183
42	226388
18	220754
58	204021
20	347391
35	413930
32	174201
23	145917
31	241797
33	265168
41	171234
22	178452
46	157857
61	512864
30	296462
42	171615
63	214071
26	172421
42	195488
23	316841
25	236267
30	236543
23	318483
34	163756
30	238186
39	329980
30	169269
38	34744
26	98114
20	109667
37	263690
33	147430
24	224238
42	212894
51	136708
56	38573
22	197200
52	182796
44	184527
34	145231
51	43354
20	318865
19	355712
37	98776
68	257557
22	102258
56	170287
37	243409
52	55608
26	248057
33	95530
45	54038
18	161245
43	388725
64	71807
18	228216
20	303121
57	78020
41	249254
34	87218
19	304299
44	196234
56	197875
36	48063
48	253596
29	39257
33	56150
31	179415
39	252445
66	275918
27	106562
39	198654
59	107318
26	181896
31	106014
45	319993
23	197997
36	173542
34	207564
32	224462
37	123361
33	90409
50	165001
32	149573
35	249456
37	149898
44	292985
57	50223
29	400074
55	197399
43	209547
43	52433
45	355978
33	48214
26	190873
23	278390
41	203217
24	279175
47	194590
34	198813
40	187294
28	302903
24	154835
73	73402
23	100345
43	126320
26	142226
58	112076
52	225339
29	211208
47	200808
49	220618
40	210493
62	369734
49	27898
50	138193
31	224234
48	188741
24	183772
41	155041
37	79586
45	355781
63	156158
36	116358
45	59287
41	138868
26	185885
17	40299
27	500068
43	51494
35	179481
38	365907
26	284343
28	204862
38	272476
36	175130
33	118941
19	164339
22	213291
42	55457
50	280292
30	446894
37	67083
54	159219
52	168539
65	88145
33	150309
25	122999
24	302195
26	210982
39	177140
59	113838
29	97165
47	104301
23	192028
64	115931
21	147280
32	185433
26	599057
19	50626
62	71467
32	183977
75	26586
45	196858
31	160594
32	65278
24	102258
25	196947
41	233150
18	42857
44	118059
40	169262
27	95108
23	161092
21	345253
37	111275
65	178878
43	157237
45	155664
24	322658
24	208503
19	223326
37	20308
24	124751
34	113364
50	196900
36	168170
39	205338
44	98806
45	226452
32	479179
47	471990
50	44728
32	33117
19	264876
19	47235
28	293628
28	193122
39	149347
21	129172
73	151255
39	98886
25	238673
31	137991
51	85942
39	85783
31	174789
21	457162
46	176026
73	88594
41	311101
20	273989
27	370242
24	194630
20	313817
39	195843
27	203160
33	175856
33	75435
36	291676
55	192869
19	124464
35	98776
34	107960
62	312286
33	48520
39	224541
36	237713
41	309990
39	37019
38	48976
18	170183
61	142988
20	163205
35	455379
27	104423
66	104936
21	542610
20	208117
34	105141
63	156120
20	38455
31	213339
41	177989
64	107732
32	312403
30	176992
36	84294
22	143062
53	139671
50	116814
36	37778
41	240900
55	202652
38	52187
28	349751
24	238384
60	209844
54	333301
27	214974
30	113453
