age	fnlwgt
25	226802
38	71851
28	336951
44	160323
18	137996
34	264924
29	227026
63	130782
24	369667
55	419984
65	184454
36	212465
26	84196
58	342664
48	233103
43	276951
20	711286
43	171139
37	121096
40	75572
34	91842
34	272672
72	880100
25	205517
25	205947
45	192366
22	472854
23	99590
54	113733
32	72855
46	112046
56	149321
24	150619
23	258120
26	43311
65	191846
36	403681
22	198757
17	269430
20	257509
65	109107
44	106913
36	465326
29	103634
20	172964
28	269813
39	290208
54	149018
52	446804
56	105533
18	108880
39	280215
21	357332
22	36109
38	162553
21	110677
63	145985
34	305662
42	136577
33	269705
30	80908
39	118429
26	31208
33	281384
47	171807
41	109912
41	296921
19	210920
46	170338
43	85505
55	287900
46	175622
30	229636
21	388946
46	269034
17	165361
41	60010
69	232505
50	312477
20	72055
45	53601
23	213734
24	83141
44	179105
31	91002
43	154984
20	978756
55	114736
24	228724
41	153736
59	468714
49	154886
33	705640
59	98984
34	198751
20	479296
25	235218
49	164877
59	272087
20	169699
51	421693
33	231075
22	217704
58	301568
52	221761
36	75826
41	201520
28	154236
19	723068
18	310627
18	149183
28	149624
29	337266
20	61592
40	103541
26	206721
46	96773
23	334945
44	180019
43	179866
31	132513
18	350810
19	331640
41	110732
41	181020
69	294066
48	42972
28	134813
27	76959
41	191437
41	428420
24	247846
20	334105
42	98335
57	203732
30	142921
36	121909
49	171128
33	166174
23	306309
46	83822
18	476578
40	113434
43	190669
34	212404
47	233327
44	35559
33	177727
55	99817
19	608981
28	618869
27	276951
50	229128
22	315476
40	60332
25	126110
26	102264
22	859555
42	113732
38	93225
55	57419
32	136921
22	345676
29	142249
46	50525
31	156493
58	397552
42	169698
18	67006
58	166362
54	236157
34	189759
26	239877
61	14117
48	67229
36	210125
24	289419
40	90174
33	123382
37	248010
34	198613
56	321529
28	177394
37	147694
44	284652
64	1006840
54	53191
23	42202
34	513100
22	177125
33	196385
39	130564
47	444375
79	48574
26	152320
31	56964
44	265953
42	192502
19	355313
27	132267
51	174861
28	113954
57	23748
45	185588
50	175029
34	25813
45	411273
73	286874
34	285716
31	172263
19	177850
25	23285
38	213274
39	22463
23	225621
49	37306
33	172268
21	471040
31	220915
23	37556
34	162312
25	77698
39	282951
52	311259
63	65479
41	277256
46	328514
53	169719
25	270276
77	197422
18	96869
38	190354
55	95801
34	236861
80	268123
34	98143
52	152373
42	325669
26	362617
31	103435
25	321614
55	70159
19	767217
62	221866
22	208886
39	88274
35	143385
28	107189
47	121682
44	138634
21	266587
35	162974
24	313956
42	177937
28	155094
21	286787
62	57629
39	281768
30	260782
72	487538
50	87950
28	134890
29	100293
26	132179
27	116372
29	255412
61	195789
29	547840
21	87308
31	338170
25	94518
58	65325
64	118944
46	157197
53	271849
19	121352
42	174145
18	367923
58	163217
20	231594
35	413930
32	183369
23	233467
31	241797
33	192849
41	142695
22	178452
46	157857
61	512864
30	296462
42	124811
63	214071
26	172421
42	195488
23	316841
25	236267
30	295679
23	318483
34	109171
30	198488
39	329980
30	178178
38	36573
26	98114
20	274168
37	263690
33	147430
24	224238
42	141929
51	65099
56	34287
22	197200
52	121864
44	164024
34	165978
51	41290
20	318865
19	569139
37	98776
68	257557
22	102258
56	170287
37	243409
52	55608
26	248057
33	76424
45	51465
18	429987
43	259150
64	57446
18	456432
20	269441
57	78020
41	237385
34	69774
19	304299
44	142716
56	197875
36	24032
48	211330
29	39257
33	56150
31	179415
39	224396
66	275918
27	85250
39	198654
59	85854
26	181896
31	106014
45	319993
23	263996
36	173542
34	691880
32	106887
37	98689
33	80364
50	82500
32	149573
35	249456
37	149898
44	195323
57	80357
29	400074
55	157919
43	335275
43	29962
45	237319
33	241070
26	190873
23	163759
41	203217
24	279175
47	176900
34	176723
40	187294
28	302903
24	154835
73	293608
23	267587
43	126320
26	142226
58	128087
52	257530
29	85337
47	229495
49	238506
40	210493
62	369734
49	20289
50	110554
31	224234
48	150993
24	183772
41	155041
37	53057
45	316250
63	390395
36	103429
45	59287
41	138868
26	371770
17	64478
27	555631
43	31689
35	130532
38	365907
26	284343
28	204862
38	454127
36	175130
33	118941
19	93908
22	341266
42	55457
50	280292
30	595859
37	67083
54	159219
52	168539
65	88145
33	150309
25	122999
24	268618
26	210982
39	177140
59	113838
29	97165
47	92712
23	219461
64	92745
21	294560
32	185433
26	647629
19	101252
62	71467
32	133801
75	212688
45	131239
31	128475
32	65278
24	102258
25	196947
41	155433
18	85714
44	85861
40	135410
27	95108
23	161092
21	345253
37	111275
65	149065
43	157237
45	141513
24	322658
24	198574
19	255230
37	12497
24	142573
34	113364
50	201949
36	168170
39	136892
44	104006
45	226452
32	479179
47	471990
50	44728
32	33117
19	264876
19	94470
28	1174512
28	154498
39	149347
21	129172
73	80669
39	98886
25	238673
31	275982
51	107428
39	122547
31	174789
21	1075675
46	140821
73	101250
41	311101
20	273989
27	493656
24	222434
20	313817
39	195843
27	290229
33	117237
33	75435
36	291676
55	214299
19	124464
35	65851
34	107960
62	356898
33	48520
39	163303
36	237713
41	375745
39	24679
38	195904
18	680732
61	127100
20	181339
35	280233
27	104423
66	110459
21	542610
20	462482
34	105141
63	124896
20	38455
31	213339
41	118659
64	95762
32	312403
30	141594
36	46830
22	476873
53	111737
50	116814
36	37778
41	240900
55	231602
38	41750
28	279801
24	257712
60	209844
54	333301
27	143316
30	151271
54	144212
44	98779
52	110001
18	157056
55	283105
35	201117
37	178100
22	416165
45	157810
38	135811
48	107231
35	106448
21	157453
37	127561
18	272310
26	129814
48	57940
51	217480
52	120914
32	33945
39	133169
51	144284
54	43066
21	241853
43	125577
32	242323
31	223064
73	728740
26	227781
35	116369
73	84034
25	121285
58	15461
32	197053
28	103548
41	51245
53	264428
49	202906
55	139834
29	94782
28	73976
44	179319
41	176174
26	126112
23	325179
37	143774
23	121862
33	479600
44	180599
21	597368
36	300333
44	184105
23	202084
26	29515
32	247328
31	188246
50	120901
18	705280
49	106061
59	128829
38	133057
50	113429
51	244292
22	181168
54	174806
37	32207
31	29071
67	168224
43	180318
21	311376
30	101562
32	214287
36	86143
33	217304
37	292881
29	244228
18	52657
26	247425
51	128338
39	189344
18	488205
52	163051
31	437200
45	244376
38	192179
21	228935
33	48520
39	130007
31	166248
43	162843
64	770860
33	258963
49	26093
41	266439
55	126840
52	179912
42	287129
24	275769
42	133760
41	253250
35	337239
71	453780
54	191550
24	403107
59	179078
30	126402
57	223892
58	191318
32	394708
22	191158
20	671974
60	164730
51	190678
26	395794
33	286675
19	191986
50	181050
32	56150
51	248327
18	181720
35	83886
22	365898
46	143060
37	26160
45	108076
63	351281
53	1035328
24	131220
65	262695
43	394964
47	265097
41	185057
27	169557
35	177939
19	302753
47	39208
25	198813
59	240030
28	226089
17	381882
21	128209
31	208458
49	112761
48	54173
60	242152
33	182556
40	231348
42	42612
34	344073
38	245317
58	135741
20	346341
52	221884
22	198478
24	367354
39	259716
41	139307
37	228643
56	225927
21	256504
29	269642
45	177956
44	79724
54	344480
24	314819
40	27778
43	83887
20	599512
41	264663
32	294121
31	134259
26	241626
50	137815
62	153891
24	74466
58	122503
44	57233
44	211517
37	106303
65	72776
33	54318
34	155224
56	116376
35	149649
33	187618
35	155682
47	40058
35	12078
56	187355
29	218555
53	75371
42	327566
20	281668
24	189357
33	179747
42	166508
38	93580
32	205950
20	381936
32	128366
28	190911
51	62096
41	173057
37	216145
23	243723
40	168113
47	652784
46	252787
24	311311
40	159051
30	66835
41	143838
37	214785
49	252616
41	37093
52	304158
23	26186
34	361978
25	77661
44	53411
31	239455
53	170701
62	127858
35	153814
30	340899
48	224752
36	102568
32	267503
22	433100
17	143331
19	192162
26	201635
20	55263
56	152832
45	661000
23	110998
31	122347
30	639375
42	191467
27	101707
37	212115
31	201786
33	290763
64	86837
32	147118
62	103575
37	169469
25	189334
49	139571
36	111545
67	194069
54	307973
45	211666
30	143766
39	112812
57	86580
57	111385
23	145744
49	126754
46	217040
41	32460
44	148213
25	190749
34	170628
24	175130
32	176163
27	125959
67	53874
36	191754
40	266726
24	164574
46	185870
44	174468
23	40323
46	88612
31	289889
21	152200
61	198231
71	76973
42	26915
27	871408
21	510085
21	389389
28	127392
27	210286
32	46374
47	125892
22	43351
56	249751
20	191948
30	97306
22	281885
28	126901
50	107950
66	593520
38	273817
62	236657
36	327435
47	315391
25	176520
26	186463
37	50380
70	1619935
52	192445
70	317447
19	42750
23	2653480
37	246610
37	173963
45	284763
29	87020
56	466624
50	197826
20	164009
26	264012
41	142831
21	200121
48	110455
22	33551
37	101809
47	492584
61	93997
47	169699
37	184686
46	96652
42	86466
41	54422
33	107215
24	222434
27	102142
40	138090
56	46920
35	151253
24	208946
73	10097240
36	201384
31	241001
50	122340
36	197274
37	106043
26	142281
20	237956
58	31532
45	276157
33	207668
31	142921
44	144693
19	345559
54	327338
31	73161
27	275921
36	151764
47	131726
35	297148
42	48904
45	370261
70	573446
27	172523
36	208137
23	86939
25	177406
45	189458
24	411564
90	119255
50	63041
37	45316
31	386299
17	61838
26	305564
41	95379
50	97143
45	142785
54	290695
54	186224
38	172918
22	208705
43	307767
19	278173
30	169002
31	186369
42	99203
48	197836
56	160155
21	446922
45	167159
37	116409
38	140215
34	211126
29	189565
24	224059
79	47751
35	175264
39	23438
73	714993
57	186361
35	132639
60	333729
19	165416
54	226497
53	99516
23	177287
57	22821
27	122877
25	144334
38	217926
48	102208
24	112731
67	51415
20	196441
38	216319
54	279337
20	115085
57	329624
34	364494
34	185211
80	345125
40	204585
19	252066
35	142029
21	67244
59	75785
53	85423
41	134724
59	79685
21	150918
52	157413
48	238567
24	153133
49	186256
19	208212
50	131819
39	94389
25	245121
66	22502
30	23778
49	190461
40	154356
38	191137
25	217006
51	24012
23	57711
60	73546
44	73352
53	116068
66	366498
18	213496
44	49665
38	210438
30	53373
36	281625
38	273457
31	147510
26	162459
23	302725
58	179089
44	53956
59	77816
36	74593
42	150891
17	57088
59	1766560
22	152328
40	106913
36	180278
19	1137571
49	178493
18	243203
38	313098
48	226696
53	118058
33	149771
34	114074
41	137271
20	368542
58	218724
52	134190
45	154863
37	385330
48	242406
40	107584
29	113682
33	641044
51	475333
48	127712
36	294672
31	166770
41	224004
29	66893
20	47039
53	36186
37	159383
28	219440
27	216479
57	274680
23	211345
25	145401
63	179805
65	445700
77	89655
32	234195
40	98466
67	191437
35	77792
24	134181
53	156552
37	94869
44	267464
25	257006
17	162020
47	36173
62	171995
39	163777
18	47807
32	189838
25	629900
30	51766
47	37874
40	103614
38	303092
41	124520
21	441714
32	206234
54	226625
31	40976
42	13769
23	283969
18	224875
65	577697
37	115204
53	205949
50	75690
64	240357
55	162619
63	201700
53	185246
18	120599
33	231826
62	499971
56	189977
58	278772
33	244023
58	164852
44	72466
81	184615
28	198695
28	132326
43	280033
51	175122
23	184290
48	86200
45	51571
48	106211
37	355705
34	267795
63	134400
38	34378
29	180271
33	123833
47	213304
30	395384
35	391937
54	175339
26	48581
39	141558
34	32174
55	176219
33	154965
17	345428
27	180140
53	158977
43	223934
22	23940
52	70458
60	57371
55	45344
39	107164
29	120126
41	43689
61	131117
71	101676
20	461674
33	177083
52	173987
40	352080
26	102400
31	152899
42	168686
63	315762
53	263019
34	238944
48	149640
67	212350
49	318867
28	98015
51	295538
44	80185
27	82393
49	292242
34	216725
27	247061
38	276327
24	219140
29	300334
39	319962
50	115284
42	28288
63	611914
44	204361
58	218312
25	145866
23	146144
20	316702
46	260044
21	232203
63	180099
38	154541
27	69429
41	137471
43	92450
39	42478
48	47295
56	110344
44	71669
24	70261
49	367037
38	147622
36	308010
27	602604
50	369367
46	172755
41	1374364
45	133850
46	153536
65	76052
44	190859
35	198046
44	167358
51	155996
74	192894
32	328262
22	269537
58	230586
47	115358
32	78283
64	270166
44	355218
59	157749
34	232930
54	74660
33	390137
44	114909
31	305619
30	157990
18	282925
56	215993
24	174845
23	180475
51	152652
24	345882
39	450770
49	166003
22	204935
42	54177
51	185776
20	681647
49	169515
31	200070
41	208613
35	150115
20	167873
35	157150
46	826730
35	25103
21	344094
45	178530
37	347491
45	208049
18	185032
53	145623
24	117023
35	281982
28	150025
50	125868
38	132850
34	28568
53	67291
46	195526
50	274682
45	353083
29	448682
41	283174
43	148330
29	148224
53	49967
24	100961
35	51700
